"Pp","Inf.Unit"
0.01,270.924509436693
0.02,135.029352929855
0.03,89.7294109825933
0.04,67.0782545609962
0.05,53.4865974745579
0.06,44.4246773280064
0.07,37.9511670853499
0.08,33.0954029604218
0.09,29.3181270466231
0.1,26.2957843683978
0.11,23.8224760860421
0.12,21.7609360977089
0.13,20.0161338247097
0.14,18.5201900884373
0.15,17.2233266361273
0.16,16.0882095940632
0.17,15.0862893486619
0.18,14.1953604667893
0.19,13.3978921671408
0.2,12.6798596497842
0.21,12.0299093311152
0.22,11.4387517415668
0.23,10.8987127973836
0.24,10.4033972540016
0.25,9.947432930165
0.26,9.52627395680015
0.27,9.13604774792153
0.28,8.77343476306314
0.29,8.43557314604609
0.3,8.11998243562102
0.31,7.82450204145912
0.32,7.54724125560788
0.33,7.28653835254034
0.34,7.04092690667073
0.35,6.80910788390393
0.36,6.58992638455454
0.37,6.38235215771185
0.38,6.1854631923712
0.39,5.99843183314198
0.4,5.82051297876388
0.41,5.65103400783663
0.42,5.48938614386506
0.43,5.33501702523607
0.44,5.18742428829908
0.45,5.046150005749
0.46,4.91077584986453
0.47,4.7809188722518
0.48,4.65622780967921
0.49,4.53637984021068
0.5,4.42107772581558
0.51,4.31004728747233
0.52,4.20303516690041
0.53,4.09980683577747
0.54,4.00014481888398
0.55,3.90384710227579
0.56,3.81072570148308
0.57,3.7206053680077
0.58,3.63332241515123
0.59,3.54872364654263
0.6,3.46666537272178
0.61,3.38701250283429
0.62,3.30963769995354
0.63,3.23442058981066
0.64,3.16124701381535
0.65,3.09000831821943
0.66,3.02060067213462
0.67,2.95292440788484
0.68,2.88688337786897
0.69,2.82238432274415
0.7,2.75933624632403
0.71,2.69764979312943
0.72,2.63723662503662
0.73,2.57800879394733
0.74,2.51987810785703
0.75,2.46275548812872
0.76,2.40655031618759
0.77,2.35116976824156
0.78,2.29651813700129
0.79,2.24249613972274
0.8,2.18900021222409
0.81,2.13592178883574
0.82,2.08314656852709
0.83,2.03055376771411
0.84,1.97801536048722
0.85,1.92539530720731
0.86,1.87254877259841
0.87,1.81932133461647
0.88,1.76554818549435
0.89,1.7110533264521
0.9,1.65564875761879
0.91,1.59913366473583
0.92,1.54129360420279
0.93,1.48189968798424
0.94,1.42070776982015
0.95,1.35745763407385
0.96,1.29187218841022
0.97,1.2236566613235
0.98,1.15249780533018
0.99,1.07806310640815
1,1
