GP,Dose_Group,1,2,3,5,7
1,6,49,49,49,,
2,6,49,49,49,,
3,6,49,49,49,,
4,6,49,49,49,,
5,5,49,49,49,,
6,5,49,49,49,,
7,5,49,49,49,,
8,5,49,49,49,,
9,4,49,49,49,,
10,4,49,49,49,,
11,4,49,49,49,,
12,4,49,49,49,,
13,3,49,49,49,,
14,3,49,49,49,,
15,3,49,49,49,,
16,3,49,49,49,,
17,2,49,49,49,,
18,2,49,1.90E+03,2.20E+03,,
19,2,49,49,49,,
20,2,49,49,49,,
21,1,1.00E+02,7.50E+03,1.05E+03,4.90E+01,4.90E+01
22,1,2.50E+02,3.00E+03,1.20E+03,4.90E+01,4.90E+01
23,1,8.50E+02,6.00E+03,1.10E+03,4.90E+01,4.90E+01
24,1,5.30E+03,4.70E+03,3.00E+03,4.90E+01,4.90E+01
